,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
6920,09/01/2021,NJ,1094249,953616.0,140633.0,2283,470.0,26902,24171.0,2731.0,20,0.0,09/02/2021 01:49:05 PM,Agree,Agree
7021,07/01/2021,NJ,1023613,893155.0,130458.0,218,46.0,26462,23759.0,2703.0,5,0.0,07/02/2021 01:55:07 PM,Agree,Agree
7138,03/01/2021,KY,412784,316374.0,96410.0,976,428.0,6732,6032.0,700.0,10,1.0,03/03/2021 12:00:00 AM,Agree,Agree
7157,08/01/2021,KY,486781,363685.0,123096.0,1159,382.0,7473,6701.0,772.0,7,0.0,08/03/2021 12:00:00 AM,Agree,Agree
7189,08/01/2021,DC,50606,,,104,0.0,1149,,,0,0.0,08/02/2021 02:03:57 PM,,
7228,02/01/2021,LA,401591,,,965,39.0,8912,8340.0,572.0,53,4.0,02/02/2021 02:51:51 PM,Not agree,Agree
7238,07/01/2021,FSM,1,1.0,0.0,0,0.0,0,0.0,0.0,0,0.0,07/02/2021 01:55:07 PM,Agree,Agree
7346,06/01/2021,DC,49000,,,27,0.0,1134,,,2,0.0,06/02/2021 02:35:40 PM,,
7375,04/01/2021,LA,445469,,,536,202.0,10161,9308.0,853.0,20,5.0,04/02/2021 01:56:15 PM,Not agree,Agree
7455,09/01/2021,RI,163083,,,342,0.0,2772,,,0,0.0,09/10/2021 02:24:00 PM,Not agree,
7456,09/01/2021,MN,651388,,,1424,228.0,7910,7386.0,524.0,6,2.0,09/02/2021 01:49:05 PM,,Agree
7670,02/01/2021,KY,375186,292020.0,83166.0,2299,976.0,6156,5518.0,638.0,31,1.0,02/03/2021 12:00:00 AM,Agree,Agree
7717,09/01/2021,AZ,1016663,935453.0,81210.0,4740,291.0,18853,16804.0,2049.0,67,8.0,09/02/2021 01:49:05 PM,Agree,Agree
7739,07/01/2021,VA,680744,529770.0,150974.0,180,82.0,11423,9642.0,1781.0,4,0.0,07/02/2021 01:55:07 PM,Agree,Agree
7768,09/01/2021,SC,741339,600816.0,140523.0,5334,1672.0,10850,,,29,7.0,09/01/2021 12:00:00 AM,Agree,Not agree
7901,09/01/2021,OR,279087,279087.0,0.0,2800,0.0,3221,3221.0,0.0,23,0.0,09/02/2021 01:49:05 PM,Agree,Agree
8132,01/01/2021,VA,358755,299963.0,58792.0,3988,1079.0,5117,4509.0,608.0,36,5.0,01/02/2021 02:50:51 PM,Agree,Agree
8208,01/01/2021,MN,415302,,,0,0.0,5382,5151.0,231.0,0,0.0,01/02/2021 02:50:51 PM,,Agree
8258,01/01/2021,LA,315275,,,0,0.0,7488,7115.0,373.0,0,0.0,01/02/2021 02:50:51 PM,Not agree,Agree
8324,01/01/2021,WY,44409,38010.0,6399.0,0,0.0,438,438.0,0.0,0,0.0,01/02/2021 02:50:51 PM,Agree,Agree
8373,04/01/2021,FSM,1,1.0,0.0,0,0.0,0,0.0,0.0,0,0.0,04/02/2021 01:56:15 PM,Agree,Agree
8561,09/01/2021,LA,692176,,,2476,628.0,12582,11224.0,1358.0,47,10.0,09/02/2021 01:49:05 PM,Not agree,Agree
8610,05/01/2021,KY,447915,338778.0,109137.0,349,88.0,7100,6364.0,736.0,6,2.0,05/03/2021 12:00:00 AM,Agree,Agree
8631,01/01/2021,AZ,530622,504153.0,26469.0,10063,1379.0,9015,8128.0,887.0,151,29.0,01/02/2021 02:50:51 PM,Agree,Agree
8700,02/01/2021,MN,462528,,,721,109.0,6270,5953.0,317.0,2,1.0,02/02/2021 02:51:51 PM,,Agree
8725,05/01/2021,VA,661314,513922.0,147392.0,761,302.0,10791,9073.0,1718.0,14,1.0,05/02/2021 02:13:07 PM,Agree,Agree
8785,08/01/2021,SC,622185,509555.0,112630.0,1891,516.0,9966,,,13,1.0,08/01/2021 12:00:00 AM,Agree,Not agree
8860,04/01/2021,AZ,842817,783279.0,59538.0,381,94.0,16977,15042.0,1935.0,10,-5.0,04/02/2021 01:56:15 PM,Agree,Agree
8949,07/01/2021,MN,605448,,,83,16.0,7692,7179.0,513.0,5,0.0,07/02/2021 01:55:07 PM,,Agree
8962,08/01/2021,NJ,1040281,908132.0,132149.0,928,45.0,26607,23888.0,2719.0,5,0.0,08/02/2021 02:03:57 PM,Agree,Agree
9042,06/01/2021,WY,60364,50840.0,9524.0,58,20.0,720,720.0,0.0,1,0.0,06/02/2021 02:35:40 PM,Agree,Agree
9064,04/01/2021,WY,56389,47735.0,8654.0,79,-2.0,700,700.0,0.0,0,0.0,04/02/2021 01:56:15 PM,Agree,Agree
9211,06/01/2021,AZ,881454,815209.0,66245.0,4,3.0,17628,15684.0,1944.0,0,0.0,06/02/2021 02:35:40 PM,Agree,Agree
9432,09/01/2021,FSM,7,7.0,0.0,0,0.0,0,0.0,0.0,0,0.0,09/02/2021 01:49:05 PM,Agree,Agree
9510,05/01/2021,DC,47748,,,51,0.0,1105,,,0,0.0,05/02/2021 02:13:07 PM,,
9829,08/01/2021,VA,698102,540281.0,157821.0,1236,479.0,11535,9739.0,1796.0,1,0.0,08/02/2021 02:03:57 PM,Agree,Agree
9914,08/01/2021,FSM,7,7.0,0.0,0,0.0,0,0.0,0.0,0,0.0,08/02/2021 02:03:57 PM,Agree,Agree
10030,08/01/2021,RI,154558,,,159,0.0,2742,,,0,0.0,09/10/2021 02:24:00 PM,Not agree,
10056,07/01/2021,LA,482035,,,568,139.0,10748,9725.0,1023.0,10,2.0,07/02/2021 01:55:07 PM,Not agree,Agree
10098,02/01/2021,WY,52057,44454.0,7603.0,145,-5.0,596,596.0,0.0,0,0.0,02/02/2021 02:51:51 PM,Agree,Agree
10127,07/01/2021,WY,62353,52360.0,9993.0,63,19.0,747,747.0,0.0,0,0.0,07/02/2021 01:55:07 PM,Agree,Agree
10206,02/01/2021,VA,510380,408421.0,101959.0,2740,910.0,6517,5684.0,833.0,43,25.0,02/02/2021 02:51:51 PM,Agree,Agree
10531,08/01/2021,AS,0,,,0,0.0,0,,,0,0.0,08/02/2021 02:03:57 PM,,
10614,05/01/2021,FL,2199642,,,3879,1131.0,36033,,,51,1.0,05/01/2021 12:00:00 AM,Not agree,Not agree
10619,03/01/2021,MA,582543,551550.0,30993.0,1395,147.0,16272,15942.0,330.0,53,5.0,03/03/2021 12:00:00 AM,Agree,Agree
10665,03/01/2021,KS,294302,238803.0,55499.0,639,172.0,4744,,,9,1.0,03/02/2021 02:54:47 PM,Agree,
10719,08/01/2021,PR,147877,127977.0,19900.0,351,163.0,2587,2223.0,364.0,3,0.0,08/01/2021 12:00:00 AM,Agree,Agree
10754,08/01/2021,OK,485771,381218.0,104553.0,1404,341.0,7524,6413.0,1111.0,9,1.0,08/02/2021 02:03:57 PM,Agree,Agree
10759,01/01/2021,HI,21258,,,232,0.0,287,,,1,0.0,01/02/2021 02:50:51 PM,Not agree,Not agree
10805,09/01/2021,NYC,1036970,851002.0,185968.0,1785,114.0,33864,28683.0,5181.0,10,-4.0,09/02/2021 01:49:05 PM,Agree,Agree
10866,06/01/2021,UT,406282,406282.0,0.0,112,0.0,2302,2232.0,70.0,0,0.0,06/02/2021 02:35:40 PM,Agree,Agree
10950,08/01/2021,CO,576548,534818.0,41730.0,733,52.0,6951,6154.0,797.0,3,0.0,08/02/2021 02:03:57 PM,Agree,Agree
10976,03/01/2021,AR,322509,,,94,-4.0,5250,,,7,1.0,03/02/2021 02:54:47 PM,Not agree,Not agree
10986,05/01/2021,TX,2886713,,,3486,863.0,49980,,,35,0.0,05/03/2021 12:00:00 AM,Not agree,Not agree
11003,06/01/2021,PW,1,,,0,0.0,0,,,0,0.0,06/02/2021 02:35:40 PM,,
11011,07/01/2021,OK,458483,361445.0,97038.0,303,108.0,7395,6302.0,1093.0,2,0.0,07/02/2021 01:55:07 PM,Agree,Agree
11021,03/01/2021,WV,132048,105464.0,26584.0,193,54.0,2300,,,0,0.0,03/02/2021 02:54:47 PM,Agree,Not agree
11023,04/01/2021,NYC,856282,712677.0,143605.0,4156,984.0,31323,26320.0,5003.0,46,5.0,03/30/2021 12:00:00 AM,Agree,Agree
11192,05/01/2021,PW,0,,,0,0.0,0,,,0,0.0,05/02/2021 02:13:07 PM,,
11209,05/01/2021,HI,32882,,,188,73.0,480,,,0,0.0,05/02/2021 02:13:07 PM,Not agree,Not agree
11218,05/01/2021,MP,168,168.0,0.0,4,0.0,2,2.0,0.0,0,0.0,05/03/2021 12:00:00 AM,Agree,Agree
11265,08/01/2021,PW,2,,,0,0.0,0,,,0,0.0,08/02/2021 02:03:57 PM,,
11340,01/01/2021,FL,1328158,,,9663,1696.0,23704,,,159,12.0,01/01/2021 12:00:00 AM,Not agree,Not agree
11353,04/01/2021,PR,109562,99869.0,9693.0,730,161.0,2136,1817.0,319.0,5,1.0,04/01/2021 12:00:00 AM,Agree,Agree
11413,03/01/2021,FL,1879666,,,6949,2103.0,32550,,,88,8.0,03/01/2021 12:00:00 AM,Not agree,Not agree
11629,05/01/2021,AR,335968,,,243,59.0,5741,,,2,0.0,05/02/2021 02:13:07 PM,Not agree,Not agree
11631,02/01/2021,GA,912479,752448.0,160031.0,3034,453.0,14242,12613.0,1629.0,44,1.0,02/02/2021 02:51:51 PM,Agree,Agree
11688,09/01/2021,UT,466107,466107.0,0.0,1685,0.0,2640,2559.0,81.0,6,1.0,09/02/2021 01:49:05 PM,Agree,Agree
11693,03/01/2021,AS,4,,,0,0.0,0,,,0,0.0,03/02/2021 02:54:47 PM,,
11721,06/01/2021,PR,138741,122149.0,16592.0,58,30.0,2520,2163.0,357.0,3,0.0,06/01/2021 12:00:00 AM,Agree,Agree
11723,08/01/2021,KS,334067,268938.0,65129.0,567,0.0,5261,,,3,0.0,08/02/2021 02:03:57 PM,Agree,
11738,08/01/2021,UT,433963,433963.0,0.0,748,0.0,2461,2389.0,72.0,5,0.0,08/02/2021 02:03:57 PM,Agree,Agree
11870,02/01/2021,CO,397063,377401.0,19662.0,3642,328.0,5641,4932.0,709.0,47,-3.0,02/02/2021 02:51:51 PM,Agree,Agree
11890,09/01/2021,OK,557770,432845.0,124925.0,3274,1374.0,8073,6877.0,1196.0,17,-1.0,09/02/2021 01:49:05 PM,Agree,Agree
11921,02/01/2021,KS,276668,227503.0,49165.0,1983,0.0,3809,,,30,0.0,02/02/2021 02:51:51 PM,Agree,
11956,08/01/2021,TX,3128102,,,2359,310.0,52106,,,21,0.0,08/02/2021 02:03:57 PM,Not agree,Not agree
11972,07/01/2021,CO,558321,519144.0,39177.0,408,56.0,6798,6003.0,795.0,4,1.0,07/02/2021 01:55:07 PM,Agree,Agree
11991,06/01/2021,AS,0,,,0,0.0,0,,,0,0.0,06/02/2021 02:35:40 PM,,
12055,03/01/2021,CO,429839,406219.0,23620.0,1536,44.0,5952,5218.0,734.0,1,0.0,03/02/2021 02:54:47 PM,Agree,Agree
12059,05/01/2021,OK,449371,354570.0,94801.0,201,49.0,7256,6176.0,1080.0,0,0.0,05/02/2021 12:00:00 AM,Agree,Agree
12124,05/01/2021,GA,1101487,880836.0,220651.0,1300,318.0,20212,17578.0,2634.0,22,3.0,05/02/2021 02:13:07 PM,Agree,Agree
