,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
16510,02/01/2021,OH,899079,783158.0,115921.0,3287,1111.0,11230,10000.0,1230.0,55,10.0,02/02/2021 02:51:51 PM,Agree,Agree
16528,09/01/2021,NY,1246065,,,2829,0.0,20308,,,18,0.0,09/02/2021 01:49:05 PM,Not agree,Not agree
16614,06/01/2021,SD,124209,,,18,3.0,2014,1638.0,376.0,0,1.0,06/02/2021 02:35:40 PM,,Agree
16734,02/01/2021,RMI,4,4.0,0.0,0,0.0,0,0.0,0.0,0,0.0,02/02/2021 02:51:51 PM,Agree,Agree
16997,08/01/2021,TN,901647,738374.0,163273.0,1861,535.0,12800,10323.0,2477.0,12,3.0,07/31/2021 12:00:00 AM,Agree,Agree
17034,02/01/2021,PA,854301,742336.0,111965.0,3352,969.0,21687,,,85,68.0,02/01/2021 12:00:00 AM,Agree,Not agree
17043,01/01/2021,PA,657060,587824.0,69236.0,8491,1895.0,16214,,,236,-75.0,01/01/2021 12:00:00 AM,Agree,Not agree
17129,07/01/2021,RMI,4,4.0,0.0,0,0.0,0,0.0,0.0,0,0.0,07/02/2021 01:55:07 PM,Agree,Agree
17216,09/01/2021,IA,408390,,,1822,492.0,6307,,,39,39.0,09/02/2021 01:49:05 PM,Not agree,Not agree
17317,01/01/2021,IA,282664,,,1995,403.0,3898,,,7,7.0,01/02/2021 02:50:51 PM,Not agree,Not agree
17321,09/01/2021,RMI,4,4.0,0.0,0,0.0,0,0.0,0.0,0,0.0,09/02/2021 01:49:05 PM,Agree,Agree
17389,04/01/2021,OH,1020041,863980.0,156061.0,2475,651.0,18611,18611.0,0.0,0,0.0,04/02/2021 01:56:15 PM,Agree,Agree
17573,01/01/2021,NM,144142,,,1278,0.0,3056,,,29,2.0,01/03/2021 12:00:00 AM,,Not agree
17706,04/01/2021,SD,117989,,,230,58.0,1938,1579.0,359.0,3,0.0,04/02/2021 01:56:15 PM,,Agree
17842,05/01/2021,PA,1160428,977085.0,183343.0,3030,562.0,26253,,,35,21.0,05/01/2021 12:00:00 AM,Agree,Not agree
18035,08/01/2021,GA,1187107,937515.0,249592.0,3829,1144.0,21690,18725.0,2965.0,7,0.0,08/02/2021 02:03:57 PM,Agree,Agree
18087,04/01/2021,KS,302372,244543.0,57829.0,0,173.0,4913,,,0,2.0,04/02/2021 01:56:15 PM,Agree,
18126,03/01/2021,OK,433438,342765.0,90673.0,270,69.0,6925,5892.0,1033.0,12,0.0,03/02/2021 12:00:00 AM,Agree,Agree
18182,06/01/2021,AK,67507,,,26,0.0,362,,,0,0.0,06/02/2021 02:35:40 PM,,
18183,07/01/2021,NYC,956061,788122.0,167939.0,193,61.0,33426,28333.0,5093.0,4,0.0,07/02/2021 01:55:07 PM,Agree,Agree
18184,09/01/2021,PW,4,,,0,0.0,0,,,0,0.0,09/02/2021 01:49:05 PM,,
18185,03/01/2021,AK,56398,,,67,0.0,325,,,2,0.0,03/01/2021 12:00:00 AM,,
18301,04/01/2021,CO,463685,434979.0,28706.0,1604,142.0,6117,5385.0,732.0,10,4.0,04/02/2021 01:56:15 PM,Agree,Agree
18360,09/01/2021,AK,85358,,,761,0.0,435,,,4,0.0,09/02/2021 01:49:05 PM,,
18368,05/01/2021,MA,690279,646982.0,43297.0,1306,191.0,17617,17265.0,352.0,7,1.0,05/03/2021 12:00:00 AM,Agree,Agree
18435,01/01/2021,WV,87820,71250.0,16570.0,2486,742.0,1361,,,23,5.0,01/02/2021 02:50:51 PM,Agree,Not agree
18596,01/01/2021,OK,329026,268550.0,60476.0,3502,1016.0,4619,4095.0,524.0,55,10.0,01/02/2021 12:00:00 AM,Agree,Agree
18646,02/01/2021,PW,0,,,0,0.0,0,,,0,0.0,02/02/2021 02:51:51 PM,,
18702,08/01/2021,AK,72753,,,234,0.0,382,,,0,0.0,08/02/2021 02:03:57 PM,,
18741,05/01/2021,AS,0,,,0,0.0,0,,,0,0.0,05/02/2021 02:13:07 PM,,
18964,03/01/2021,UT,371492,371492.0,0.0,257,0.0,1940,1884.0,56.0,5,0.0,03/02/2021 02:54:47 PM,Agree,Agree
18967,07/01/2021,FL,2338640,,,2889,724.0,38323,,,25,3.0,07/01/2021 12:00:00 AM,Not agree,Not agree
19024,04/01/2021,PW,0,,,0,0.0,0,,,0,0.0,04/02/2021 01:56:15 PM,,
19041,09/01/2021,MA,761906,711395.0,50511.0,2037,241.0,18257,17885.0,372.0,11,0.0,09/02/2021 01:49:05 PM,Agree,Agree
19090,09/01/2021,CO,618072,571821.0,46251.0,1358,279.0,7151,6347.0,804.0,9,3.0,09/02/2021 01:49:05 PM,Agree,Agree
19202,06/01/2021,CO,543581,507085.0,36496.0,407,77.0,6579,5802.0,777.0,-1,0.0,06/02/2021 02:35:40 PM,Agree,Agree
19627,02/01/2021,AS,3,,,0,0.0,0,,,0,0.0,02/02/2021 02:51:51 PM,,
19787,05/01/2021,AK,65498,,,89,0.0,341,,,0,0.0,05/02/2021 02:13:07 PM,,
19838,04/01/2021,MA,638339,600632.0,37707.0,2759,304.0,17273,16929.0,344.0,30,1.0,04/03/2021 12:00:00 AM,Agree,Agree
19917,04/01/2021,HI,29888,,,109,0.0,460,,,0,0.0,04/02/2021 01:56:15 PM,Not agree,Not agree
19939,09/01/2021,KS,373171,298768.0,74403.0,2098,864.0,5581,,,24,4.0,09/02/2021 01:49:05 PM,Agree,
20076,07/01/2021,PR,140238,123188.0,17050.0,94,24.0,2557,2197.0,360.0,2,0.0,07/01/2021 12:00:00 AM,Agree,Agree
20123,09/01/2021,FL,3290940,,,21558,7011.0,48569,,,187,21.0,09/01/2021 12:00:00 AM,Not agree,Not agree
20247,08/01/2021,HI,41090,,,447,13.0,534,,,0,0.0,08/02/2021 02:03:57 PM,Not agree,Not agree
20316,02/01/2021,NYC,621542,534490.0,87052.0,3690,833.0,27275,22410.0,4865.0,83,5.0,01/30/2021 12:00:00 AM,Agree,Agree
20325,02/01/2021,AK,52827,,,65,0.0,308,,,0,0.0,02/01/2021 12:00:00 AM,,
20378,07/01/2021,WV,164097,128205.0,35892.0,56,22.0,2897,,,6,0.0,07/02/2021 01:55:07 PM,Agree,Not agree
20457,06/01/2021,NYC,949667,783186.0,166481.0,156,44.0,33253,28176.0,5077.0,9,1.0,05/30/2021 12:00:00 AM,Agree,Agree
20710,09/01/2021,TX,3611990,,,21511,4478.0,55955,,,320,0.0,09/02/2021 01:49:05 PM,Not agree,Not agree
20731,01/01/2021,PR,82453,77417.0,5036.0,418,39.0,1682,1407.0,275.0,7,0.0,01/01/2021 12:00:00 AM,Agree,Agree
20781,09/01/2021,AS,0,,,0,0.0,0,,,0,0.0,09/02/2021 01:49:05 PM,,
20875,07/01/2021,HI,36435,,,44,2.0,515,,,1,0.0,07/02/2021 01:55:07 PM,Not agree,Not agree
20936,04/01/2021,MP,159,159.0,0.0,0,0.0,2,2.0,0.0,0,0.0,04/03/2021 12:00:00 AM,Agree,Agree
21056,05/01/2021,WV,153498,120691.0,32807.0,370,90.0,2679,,,0,-1.0,05/02/2021 02:13:07 PM,Agree,Not agree
21188,09/01/2021,HI,61800,,,447,81.0,598,,,12,0.0,09/02/2021 01:49:05 PM,Not agree,Not agree
21270,08/01/2021,MP,190,190.0,0.0,0,0.0,2,2.0,0.0,0,0.0,08/03/2021 12:00:00 AM,Agree,Agree
21330,06/01/2021,MA,707131,661294.0,45837.0,94,4.0,17883,17520.0,363.0,11,-1.0,06/02/2021 02:35:40 PM,Agree,Agree
21339,09/01/2021,PR,172715,143623.0,29092.0,764,252.0,2893,2467.0,426.0,15,4.0,09/01/2021 12:00:00 AM,Agree,Agree
21385,07/01/2021,AR,350085,,,700,244.0,5909,,,0,0.0,07/02/2021 01:55:07 PM,Not agree,Not agree
21416,05/01/2021,PR,133500,118217.0,15283.0,559,94.0,2334,1994.0,340.0,5,0.0,05/01/2021 12:00:00 AM,Agree,Agree
21629,01/01/2021,MA,375178,359445.0,15733.0,0,0.0,12677,12409.0,268.0,64,1.0,01/03/2021 12:00:00 AM,Agree,Agree
21782,06/01/2021,FL,2284316,,,1242,357.0,37448,,,44,0.0,06/01/2021 12:00:00 AM,Not agree,Not agree
21855,01/01/2021,KS,227745,190300.0,37445.0,5312,1211.0,2879,,,138,32.0,01/02/2021 02:50:51 PM,Agree,
21938,07/01/2021,GA,1135093,903732.0,231361.0,520,211.0,21428,18503.0,2925.0,5,-2.0,07/02/2021 01:55:07 PM,Agree,Agree
21939,08/01/2021,AR,388436,,,1984,0.0,6157,,,16,0.0,08/02/2021 02:03:57 PM,Not agree,Not agree
22017,06/01/2021,AR,341450,,,69,40.0,5834,,,1,1.0,06/02/2021 02:35:40 PM,Not agree,Not agree
22044,01/01/2021,AR,229442,,,4304,1519.0,3711,,,35,17.0,01/02/2021 02:50:51 PM,Not agree,Not agree
22325,03/01/2021,GA,1008660,819730.0,188930.0,2139,925.0,17376,15148.0,2228.0,81,1.0,03/02/2021 02:54:47 PM,Agree,Agree
22400,05/01/2021,NYC,931025,769194.0,161831.0,1374,322.0,32629,27577.0,5052.0,32,1.0,04/29/2021 12:00:00 AM,Agree,Agree
22435,08/01/2021,NYC,978539,804870.0,173669.0,1328,286.0,33548,28438.0,5110.0,9,3.0,08/02/2021 02:03:57 PM,Agree,Agree
22545,06/01/2021,KS,314417,253905.0,60512.0,105,0.0,5076,,,0,0.0,06/02/2021 02:35:40 PM,Agree,
22631,01/01/2021,AK,46241,,,470,0.0,285,,,4,0.0,01/01/2021 12:00:00 AM,,
22633,04/01/2021,OK,442611,349516.0,93095.0,230,65.0,7153,6084.0,1069.0,3,0.0,04/02/2021 12:00:00 AM,Agree,Agree
22636,03/01/2021,PW,0,,,0,0.0,0,,,0,0.0,03/02/2021 02:54:47 PM,,
22937,01/01/2021,AS,3,,,0,0.0,0,,,0,0.0,01/02/2021 02:50:51 PM,,
22963,07/01/2021,TX,2990703,,,2246,875.0,51470,,,8,0.0,07/03/2021 12:00:00 AM,Not agree,Not agree
23140,05/01/2021,SD,122688,,,28,5.0,1967,1601.0,366.0,0,0.0,05/02/2021 02:13:07 PM,,Agree
23175,07/01/2021,NY,1157650,,,175,0.0,19932,,,2,0.0,07/02/2021 01:55:07 PM,Not agree,Not agree
23183,04/01/2021,TN,813508,676279.0,137229.0,1125,233.0,11926,9593.0,2333.0,11,1.0,03/31/2021 12:00:00 AM,Agree,Agree
23197,06/01/2021,RMI,4,4.0,0.0,0,0.0,0,0.0,0.0,0,0.0,06/02/2021 02:35:40 PM,Agree,Agree
23206,04/01/2021,NY,1030739,,,4566,0.0,18814,,,30,0.0,04/02/2021 01:56:15 PM,Not agree,Not agree
23254,07/01/2021,PA,1217710,1019854.0,197856.0,176,39.0,27687,,,9,10.0,07/01/2021 12:00:00 AM,Agree,Not agree
23297,06/01/2021,PA,1208585,1012961.0,195624.0,471,219.0,27214,,,0,-7.0,06/01/2021 12:00:00 AM,Agree,Not agree
23373,07/01/2021,TN,867114,713916.0,153198.0,252,73.0,12609,10155.0,2454.0,3,1.0,06/30/2021 12:00:00 AM,Agree,Agree
23379,08/01/2021,NM,211132,,,358,0.0,4442,,,4,0.0,08/03/2021 12:00:00 AM,,Not agree
23456,05/01/2021,OH,1074019,902415.0,171604.0,1707,435.0,19284,19284.0,0.0,0,0.0,05/02/2021 02:13:07 PM,Agree,Agree
23609,02/01/2021,SD,108315,,,65,13.0,1778,1429.0,349.0,0,-2.0,02/02/2021 02:51:51 PM,,Agree
23678,05/01/2021,RMI,4,4.0,0.0,0,0.0,0,0.0,0.0,0,0.0,05/02/2021 02:13:07 PM,Agree,Agree
23885,06/01/2021,NM,203151,,,3,0.0,4339,,,2,0.0,06/03/2021 12:00:00 AM,,Not agree
23909,03/01/2021,PA,939500,807701.0,131799.0,1687,412.0,24026,,,5,-8.0,03/01/2021 12:00:00 AM,Agree,Not agree
23959,07/01/2021,OH,1111903,929386.0,182517.0,579,69.0,20309,20309.0,0.0,0,0.0,07/02/2021 01:55:07 PM,Agree,Agree
24004,08/01/2021,PA,1232034,1030837.0,201197.0,978,217.0,27855,,,3,0.0,08/01/2021 12:00:00 AM,Agree,Not agree
24116,08/01/2021,NY,1174038,,,1254,0.0,19990,,,5,0.0,08/02/2021 02:03:57 PM,Not agree,Not agree
24148,04/01/2021,NM,191945,,,293,0.0,4185,,,6,0.0,04/03/2021 12:00:00 AM,,Not agree
24223,05/01/2021,IA,365228,,,386,91.0,5952,,,2,2.0,05/02/2021 02:13:07 PM,Not agree,Not agree
24251,01/01/2021,SD,99164,,,0,0.0,1488,1204.0,284.0,0,0.0,01/02/2021 02:50:51 PM,,Agree
24288,03/01/2021,NY,921678,,,2732,0.0,18031,,,28,0.0,03/02/2021 02:54:47 PM,Not agree,Not agree
24386,06/01/2021,TN,861414,709994.0,151420.0,154,44.0,12481,10048.0,2433.0,6,2.0,05/31/2021 12:00:00 AM,Agree,Agree
24453,02/01/2021,NY,815593,,,4314,0.0,16308,,,88,0.0,02/02/2021 02:51:51 PM,Not agree,Not agree
24524,08/01/2021,RMI,4,4.0,0.0,0,0.0,0,0.0,0.0,0,0.0,08/02/2021 02:03:57 PM,Agree,Agree
24627,05/01/2021,NM,197946,,,213,0.0,4255,,,2,0.0,05/03/2021 12:00:00 AM,,Not agree
24662,04/01/2021,PA,1035371,881075.0,154296.0,3839,487.0,25120,,,27,-51.0,04/01/2021 12:00:00 AM,Agree,Not agree
24675,02/01/2021,TN,735098,621802.0,113296.0,1329,432.0,10607,8562.0,2045.0,48,12.0,01/31/2021 12:00:00 AM,Agree,Agree
24731,09/01/2021,NM,233487,,,873,0.0,4601,,,9,0.0,09/03/2021 12:00:00 AM,,Not agree
24785,03/01/2021,NM,185297,,,165,0.0,4043,,,10,0.0,03/03/2021 12:00:00 AM,,Not agree
24798,02/01/2021,IA,319814,,,567,216.0,4906,,,5,5.0,02/02/2021 02:51:51 PM,Not agree,Not agree
24840,03/01/2021,RMI,4,4.0,0.0,0,0.0,0,0.0,0.0,0,0.0,03/02/2021 02:54:47 PM,Agree,Agree
24915,06/01/2021,IA,371473,,,49,13.0,6057,,,2,2.0,06/02/2021 02:35:40 PM,Not agree,Not agree
24934,02/01/2021,NM,174550,,,486,0.0,3747,,,17,0.0,02/03/2021 12:00:00 AM,,Not agree
25073,07/01/2021,NM,205629,,,87,0.0,4395,,,2,0.0,07/03/2021 12:00:00 AM,,Not agree
25088,01/01/2021,OH,700380,628336.0,72044.0,0,0.0,8962,8112.0,850.0,0,0.0,01/02/2021 02:50:51 PM,Agree,Agree
25204,03/01/2021,OH,968874,830282.0,138592.0,1452,600.0,17346,14752.0,2594.0,49,6.0,03/02/2021 02:54:47 PM,Agree,Agree
25211,09/01/2021,SD,132837,,,578,101.0,2069,1691.0,378.0,0,0.0,09/02/2021 01:49:05 PM,,Agree
25274,08/01/2021,IA,380671,,,437,94.0,6183,,,0,0.0,08/02/2021 02:03:57 PM,Not agree,Not agree
25296,08/01/2021,OH,1130134,941825.0,188309.0,857,74.0,20492,20492.0,0.0,0,0.0,08/02/2021 02:03:57 PM,Agree,Agree
25330,05/01/2021,NY,1121015,,,1857,0.0,19409,,,0,0.0,05/02/2021 02:13:07 PM,Not agree,Not agree
25418,01/01/2021,RMI,4,4.0,0.0,0,0.0,0,0.0,0.0,0,0.0,01/02/2021 02:50:51 PM,Agree,Agree
25559,05/01/2021,IL,1337868,1337868.0,0.0,2813,0.0,24330,21992.0,2338.0,39,7.0,05/02/2021 02:13:07 PM,Agree,Agree
25624,02/01/2021,DE,80037,76178.0,3859.0,214,48.0,1101,991.0,110.0,11,2.0,02/03/2021 12:00:00 AM,Agree,Agree
25737,02/01/2021,NC,784063,688939.0,95124.0,2159,568.0,10994,9788.0,1206.0,85,18.0,02/01/2021 12:00:00 AM,Agree,Agree
25842,08/01/2021,MT,116542,103846.0,12696.0,88,17.0,1706,1706.0,0.0,1,0.0,08/02/2021 02:03:57 PM,Agree,Agree
25940,09/01/2021,NV,392052,,,1452,0.0,6539,,,29,0.0,09/02/2021 01:49:05 PM,,
25943,06/01/2021,GU,8187,,,14,7.0,139,,,0,0.0,06/02/2021 02:35:40 PM,Not agree,Not agree
26092,02/01/2021,VT,11180,,,105,6.0,181,,,2,0.0,02/03/2021 12:00:00 AM,Not agree,Not agree
26264,03/01/2021,CA,3652103,3514992.0,137111.0,2715,200.0,59186,59186.0,0.0,160,0.0,03/01/2021 12:00:00 AM,Agree,Agree
26305,02/01/2021,NE,192134,,,480,0.0,1929,,,8,0.0,02/03/2021 12:00:00 AM,Not agree,Not agree
26329,06/01/2021,AL,548195,422266.0,125929.0,258,89.0,11346,9049.0,2297.0,5,3.0,06/03/2021 12:00:00 AM,Agree,Agree
26608,01/01/2021,MS,223753,151719.0,72034.0,1825,1103.0,5674,4242.0,1432.0,28,14.0,01/03/2021 12:00:00 AM,Agree,Agree
26852,01/01/2021,CA,2562469,2480933.0,81536.0,56542,2541.0,32772,32772.0,0.0,621,0.0,01/01/2021 12:00:00 AM,Agree,Agree
26903,05/01/2021,WA,404531,,,1623,182.0,5499,,,0,0.0,05/03/2021 12:00:00 AM,,
26943,02/01/2021,ND,97798,93381.0,4417.0,115,57.0,1422,,,0,0.0,02/02/2021 02:51:51 PM,Agree,Not agree
27041,03/01/2021,WA,340588,,,472,62.0,4969,,,13,0.0,03/03/2021 12:00:00 AM,,
27123,05/01/2021,MT,108985,98928.0,10057.0,168,186.0,1574,1574.0,0.0,3,0.0,05/02/2021 02:13:07 PM,Agree,Agree
27143,07/01/2021,IN,754317,,,390,0.0,13907,13480.0,427.0,9,0.0,07/01/2021 12:00:00 AM,Not agree,Agree
27215,07/01/2021,NE,224828,,,137,0.0,2260,,,0,0.0,07/03/2021 12:00:00 AM,Not agree,Not agree
27254,01/01/2021,MI,591739,543597.0,48142.0,2011,166.0,13916,13131.0,785.0,100,7.0,01/02/2021 12:00:00 AM,Agree,Agree
27289,01/01/2021,IL,963389,963389.0,0.0,0,0.0,18173,16647.0,1526.0,195,38.0,01/02/2021 02:50:51 PM,Agree,Agree
27420,03/01/2021,VI,2646,,,0,0.0,25,,,0,0.0,03/02/2021 02:54:47 PM,,
27511,06/01/2021,IN,744213,,,65,0.0,13709,13288.0,421.0,8,0.0,06/01/2021 12:00:00 AM,Not agree,Agree
27579,03/01/2021,WI,617700,564268.0,53432.0,333,25.0,7014,6412.0,602.0,0,0.0,03/02/2021 02:54:47 PM,Agree,Agree
27724,01/01/2021,NV,227046,,,2315,0.0,3146,,,21,0.0,01/02/2021 02:50:51 PM,,
27777,03/01/2021,DE,88847,84192.0,4655.0,136,18.0,1422,1286.0,136.0,0,0.0,03/03/2021 12:00:00 AM,Agree,Agree
27858,07/01/2021,VI,3895,,,16,0.0,30,,,0,0.0,07/02/2021 01:55:07 PM,,
27866,02/01/2021,VI,2421,,,0,0.0,24,,,0,0.0,02/02/2021 02:51:51 PM,,
27880,09/01/2021,VT,26560,,,103,1.0,266,,,0,0.0,09/02/2021 01:49:05 PM,Not agree,Not agree
27948,04/01/2021,VT,18226,,,258,3.0,225,,,2,0.0,04/03/2021 12:00:00 AM,Not agree,Not agree
27994,03/01/2021,AL,514283,398504.0,115779.0,844,253.0,10555,8427.0,2128.0,17,2.0,03/03/2021 12:00:00 AM,Agree,Agree
28008,04/01/2021,NH,84539,,,363,98.0,1245,,,7,1.0,04/02/2021 01:56:15 PM,Not agree,Not agree
28195,08/01/2021,DE,111563,103634.0,7929.0,156,41.0,1833,1676.0,157.0,0,0.0,08/02/2021 02:03:57 PM,Agree,Agree
28243,04/01/2021,NE,211434,,,419,0.0,2181,,,1,0.0,04/03/2021 12:00:00 AM,Not agree,Not agree
28389,07/01/2021,WA,452072,,,477,83.0,5938,,,8,0.0,07/02/2021 01:55:07 PM,,
28451,09/01/2021,MI,1065671,951192.0,114479.0,3007,436.0,21616,20316.0,1300.0,18,8.0,09/02/2021 01:49:05 PM,Agree,Agree
28569,08/01/2021,GU,8564,,,9,1.0,143,,,0,0.0,08/02/2021 02:03:57 PM,Not agree,Not agree
28641,04/01/2021,MD,414385,,,1457,0.0,8845,8639.0,206.0,18,0.0,04/03/2021 12:00:00 AM,,Agree
28723,09/01/2021,ID,222552,177523.0,45029.0,1163,271.0,2371,2047.0,324.0,8,2.0,09/02/2021 01:49:05 PM,Agree,Agree
28760,02/01/2021,MD,356541,,,905,0.0,7632,7434.0,198.0,32,1.0,02/03/2021 12:00:00 AM,,Agree
28915,08/01/2021,WA,477216,,,2070,372.0,6124,,,1,0.0,08/02/2021 02:03:57 PM,,
28927,02/01/2021,CA,3464990,3339477.0,125513.0,10642,550.0,51472,51472.0,0.0,429,0.0,02/01/2021 12:00:00 AM,Agree,Agree
29009,09/01/2021,MO,763674,,,3111,866.0,10632,,,10,0.0,09/02/2021 01:49:05 PM,Not agree,Not agree
29042,06/01/2021,NH,98767,,,21,0.0,1353,,,0,0.0,06/02/2021 02:35:40 PM,Not agree,Not agree
29073,07/01/2021,MS,322496,197217.0,125279.0,197,116.0,7490,5161.0,2329.0,4,3.0,07/03/2021 12:00:00 AM,Agree,Agree
29238,07/01/2021,MD,462439,,,85,0.0,9746,9529.0,217.0,2,0.0,07/02/2021 01:55:07 PM,,Agree
29338,05/01/2021,IN,721577,,,1152,0.0,13401,12985.0,416.0,8,1.0,05/01/2021 12:00:00 AM,Not agree,Agree
29346,06/01/2021,NC,1000317,852653.0,147664.0,224,48.0,13378,11798.0,1580.0,11,1.0,06/01/2021 12:00:00 AM,Agree,Agree
29415,09/01/2021,WA,567104,,,4063,879.0,6611,,,37,0.0,09/02/2021 01:49:05 PM,,
29419,05/01/2021,VI,3138,,,13,0.0,27,,,0,0.0,05/02/2021 02:13:07 PM,,
29514,09/01/2021,CA,4465526,4275945.0,189581.0,13462,927.0,66292,66292.0,0.0,63,0.0,09/01/2021 12:00:00 AM,Agree,Agree
29592,04/01/2021,CT,312468,288177.0,24291.0,1580,638.0,7900,6492.0,1408.0,14,-1.0,04/02/2021 01:56:15 PM,Agree,Agree
29726,09/01/2021,ME,76913,55423.0,21490.0,624,224.0,937,875.0,62.0,3,0.0,09/02/2021 01:49:05 PM,Agree,Agree
29742,08/01/2021,IN,773163,,,932,0.0,14054,13622.0,432.0,9,0.0,08/01/2021 12:00:00 AM,Not agree,Agree
29870,07/01/2021,MI,1003216,897621.0,105595.0,194,25.0,21055,19797.0,1258.0,10,0.0,07/02/2021 12:00:00 AM,Agree,Agree
29906,01/01/2021,NC,582579,525130.0,57449.0,9049,1538.0,7976,7376.0,600.0,79,10.0,01/01/2021 12:00:00 AM,Agree,Agree
29955,06/01/2021,MD,459995,,,51,0.0,9616,9404.0,212.0,2,0.0,06/02/2021 02:35:40 PM,,Agree
30055,06/01/2021,WI,674480,610224.0,64256.0,60,2.0,7875,7094.0,781.0,19,3.0,06/02/2021 02:35:40 PM,Agree,Agree
30115,08/01/2021,NV,358087,,,843,0.0,5916,,,2,0.0,08/02/2021 02:03:57 PM,,
30373,01/01/2021,DE,59670,57252.0,2418.0,823,31.0,930,828.0,102.0,0,0.0,01/03/2021 12:00:00 AM,Agree,Agree
30441,05/01/2021,DE,105542,98487.0,7055.0,285,37.0,1626,1485.0,141.0,1,0.0,05/03/2021 12:00:00 AM,Agree,Agree
30447,07/01/2021,GU,8373,,,7,1.0,140,,,0,0.0,07/02/2021 01:55:07 PM,Not agree,Not agree
30457,04/01/2021,MS,306446,188301.0,118145.0,214,125.0,7201,4980.0,2221.0,0,0.0,04/03/2021 12:00:00 AM,Agree,Agree
30528,08/01/2021,ME,70590,51491.0,19099.0,127,46.0,900,850.0,50.0,0,0.0,08/02/2021 02:03:57 PM,Agree,Agree
30700,05/01/2021,NC,971855,831379.0,140476.0,1582,387.0,13033,11511.0,1522.0,11,1.0,05/01/2021 12:00:00 AM,Agree,Agree
30824,02/01/2021,NV,279146,,,838,0.0,4278,,,8,0.0,02/02/2021 02:51:51 PM,,
30973,01/01/2021,NE,168011,,,778,0.0,1668,,,17,0.0,01/03/2021 12:00:00 AM,Not agree,Not agree
31087,01/01/2021,VI,2036,,,0,0.0,23,,,0,0.0,01/02/2021 02:50:51 PM,,
31133,09/01/2021,DE,120180,110943.0,9237.0,328,60.0,1887,1728.0,159.0,7,0.0,09/02/2021 01:49:05 PM,Agree,Agree
31148,08/01/2021,ND,111674,102155.0,9519.0,16,2.0,1539,,,0,0.0,08/02/2021 02:03:57 PM,Agree,Not agree
31180,06/01/2021,ME,67880,49704.0,18176.0,61,28.0,827,799.0,28.0,2,0.0,06/02/2021 02:35:40 PM,Agree,Agree
31200,02/01/2021,NH,66058,,,363,106.0,1059,,,2,1.0,02/02/2021 02:51:51 PM,Not agree,Not agree
31285,05/01/2021,CA,3800082,3651421.0,148661.0,1802,159.0,62562,62562.0,0.0,26,0.0,05/01/2021 12:00:00 AM,Agree,Agree
31661,02/01/2021,CT,253954,238535.0,15419.0,3931,210.0,7119,5806.0,1313.0,73,8.0,02/02/2021 02:51:51 PM,Agree,Agree
31698,03/01/2021,ID,171462,139056.0,32406.0,322,89.0,1867,1641.0,226.0,7,0.0,03/02/2021 02:54:47 PM,Agree,Agree
31725,09/01/2021,NE,246202,,,1137,0.0,2339,,,17,0.0,09/03/2021 12:00:00 AM,Not agree,Not agree
31740,04/01/2021,WA,365630,,,1330,361.0,5262,,,15,0.0,04/03/2021 12:00:00 AM,,
31795,03/01/2021,MS,297145,184270.0,112875.0,625,328.0,7041,4901.0,2140.0,18,11.0,03/03/2021 12:00:00 AM,Agree,Agree
31811,05/01/2021,MS,313147,191836.0,121311.0,169,65.0,7318,5050.0,2268.0,2,1.0,05/03/2021 12:00:00 AM,Agree,Agree
31918,06/01/2021,MS,318311,194887.0,123424.0,201,84.0,7418,5119.0,2299.0,2,0.0,06/03/2021 12:00:00 AM,Agree,Agree
31949,07/01/2021,DE,109770,102158.0,7612.0,26,4.0,1694,1549.0,145.0,0,0.0,07/02/2021 01:55:07 PM,Agree,Agree
31955,04/01/2021,MO,568684,,,593,234.0,8811,,,7,0.0,04/03/2021 12:00:00 AM,Not agree,Not agree
32048,03/01/2021,NH,75588,,,164,46.0,1170,,,0,0.0,03/02/2021 02:54:47 PM,Not agree,Not agree
32165,01/01/2021,MT,81555,81555.0,0.0,0,0.0,961,961.0,0.0,0,0.0,01/02/2021 02:50:51 PM,Agree,Agree
32190,06/01/2021,NV,324262,,,130,0.0,5590,,,4,0.0,06/02/2021 02:35:40 PM,,
32260,06/01/2021,MO,600195,,,478,172.0,9122,,,42,0.0,06/02/2021 02:35:40 PM,Not agree,Not agree
32275,08/01/2021,CA,4065740,3900014.0,165726.0,11579,604.0,64161,64161.0,0.0,24,0.0,08/01/2021 12:00:00 AM,Agree,Agree
32416,08/01/2021,IL,1423349,1423349.0,0.0,1869,0.0,25924,23446.0,2478.0,4,1.0,08/02/2021 02:03:57 PM,Agree,Agree
32421,07/01/2021,NV,334255,,,543,0.0,5692,,,11,0.0,07/02/2021 01:55:07 PM,,
32667,06/01/2021,KY,459288,346103.0,113185.0,273,117.0,7250,6496.0,754.0,4,0.0,06/03/2021 12:00:00 AM,Agree,Agree
32695,03/01/2021,OR,155787,154067.0,1720.0,190,0.0,2212,2197.0,15.0,4,0.0,03/02/2021 02:54:47 PM,Agree,Agree
32754,06/01/2021,LA,471663,,,246,39.0,10592,9608.0,984.0,16,4.0,06/02/2021 02:35:40 PM,Not agree,Agree
32766,02/01/2021,SC,467142,404797.0,62345.0,2620,453.0,7725,,,68,12.0,02/01/2021 12:00:00 AM,Agree,Not agree
